record_id,learner,val_log_loss,val_f1,val_accuracy,val_precision,val_recall,val_auc,pred_time,config
97,xgb_limitdepth,0.03129859915498152,0.9895019640874694,0.9895018746652383,0.9895033197397543,0.9895018746652383,0.9992119240294508,1.1431321653377327e-07,"{'n_estimators': 10, 'max_depth': 9, 'min_child_weight': 1.008151181343926, 'learning_rate': 1.0, 'subsample': 0.9146638281796221, 'colsample_bylevel': 1.0, 'colsample_bytree': 0.9917320174897308, 'reg_alpha': 0.08266756022347568, 'reg_lambda': 0.22075372898537426}"
98,catboost,0.007571564145879494,0.9990858855647432,0.9990858775218711,0.999087265055097,0.9990858775218711,0.9999646361580484,1.6503622650653202e-07,"{'early_stopping_rounds': 10, 'learning_rate': 0.09999999999999996, 'n_estimators': 268}"
99,extra_tree,0.04973039147520263,0.9904300355280735,0.990430280307088,0.990437048667433,0.990430280307088,0.9990380645587413,3.309867952874975e-07,"{'n_estimators': 7, 'max_features': 0.10368818553641597, 'max_leaves': 466, 'criterion': 'entropy'}"
100,rf,0.08858237218471585,0.9863235134435713,0.9863238707373684,0.9863306561911028,0.9863238707373684,0.9977828925529884,2.6054838644013066e-07,"{'n_estimators': 5, 'max_features': 0.1, 'max_leaves': 182, 'criterion': 'entropy'}"
101,rf,0.06307740869455986,0.9888584407759574,0.988859132297804,0.9888896196897029,0.988859132297804,0.9987155123257876,3.472048775295427e-07,"{'n_estimators': 15, 'max_features': 0.14156234000031248, 'max_leaves': 352, 'criterion': 'gini'}"
102,xgb_limitdepth,0.017202944062138428,0.994458185083441,0.9944581324763435,0.9944598482855191,0.9944581324763435,0.9997331302298074,2.572111222727387e-07,"{'n_estimators': 99, 'max_depth': 7, 'min_child_weight': 1.424122190564894, 'learning_rate': 0.1738930648110986, 'subsample': 0.9690443404195083, 'colsample_bylevel': 0.8182737361783602, 'colsample_bytree': 0.9018915572644082, 'reg_alpha': 0.008577859051225916, 'reg_lambda': 0.7252401772479985}"
103,catboost,0.007765064264401672,0.9991787252545994,0.9991787180860561,0.9991800804525579,0.9991787180860561,0.999964652480889,5.939223472187933e-07,"{'early_stopping_rounds': 11, 'learning_rate': 0.005, 'n_estimators': 4802}"
104,lgbm,0.0025348888252536444,0.9996000731830875,0.9996000714158186,0.9996003947443981,0.9996000714158186,0.9999876697263081,1.0378041920375023e-05,"{'n_estimators': 557, 'num_leaves': 27, 'min_child_samples': 2, 'learning_rate': 0.03719938808113552, 'log_max_bin': 5, 'colsample_bytree': 0.3655535168058133, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.0023281628118351112}"
105,extra_tree,0.05437123904576824,0.9884364198806441,0.9884377789680414,0.9885195240066692,0.9884377789680414,0.9992074712095791,4.273060282901491e-07,"{'n_estimators': 27, 'max_features': 0.19327077624794511, 'max_leaves': 266, 'criterion': 'gini'}"
106,rf,0.09205609409009795,0.9852289106402524,0.9852312087127298,0.9853527704378822,0.9852312087127298,0.997622210205338,2.623600441310006e-07,"{'n_estimators': 6, 'max_features': 0.15003220194236053, 'max_leaves': 662, 'criterion': 'gini'}"
107,extra_tree,0.04252722698885655,0.9934010447337287,0.9934011783610069,0.9934057277837972,0.9934011783610069,0.9995281591191068,3.4429498749787284e-07,"{'n_estimators': 14, 'max_features': 0.21865164132633674, 'max_leaves': 545, 'criterion': 'entropy'}"
